type,cpu,ram,price
c5ad.24xlarge,96,192 GiB,$6.432 per Hour
c5d.large,2,4 GiB,$0.149 per Hour
c5d.xlarge,4,8 GiB,$0.298 per Hour
c5d.2xlarge,8,16 GiB,$0.596 per Hour
c5d.4xlarge,16,32 GiB,$1.192 per Hour
c5d.9xlarge,36,72 GiB,$2.682 per Hour
c5d.12xlarge,48,96 GiB,$3.576 per Hour
c5d.18xlarge,72,144 GiB,$5.364 per Hour
c5d.24xlarge,96,192 GiB,$7.152 per Hour
c5d.metal,96,192 GiB,$7.152 per Hour
c5n.large,2,5.25 GiB,$0.166 per Hour
c5n.xlarge,4,10.5 GiB,$0.332 per Hour
c5n.2xlarge,8,21 GiB,$0.664 per Hour
c5n.4xlarge,16,42 GiB,$1.328 per Hour
c5n.9xlarge,36,96 GiB,$2.988 per Hour
c5n.18xlarge,72,192 GiB,$5.976 per Hour
c5n.metal,72,192 GiB,$5.976 per Hour
c4.large,2,3.75 GiB,$0.155 per Hour
c4.xlarge,4,7.5 GiB,$0.309 per Hour
c4.2xlarge,8,15 GiB,$0.618 per Hour
c4.4xlarge,16,30 GiB,$1.235 per Hour
c4.8xlarge,36,60 GiB,$2.47 per Hour
g4dn.xlarge,4,16 GiB,$0.894 per Hour
g4dn.2xlarge,8,32 GiB,$1.278 per Hour
g4dn.4xlarge,16,64 GiB,$2.046 per Hour
g4dn.8xlarge,32,128 GiB,$3.698 per Hour
g4dn.12xlarge,48,192 GiB,$6.649 per Hour
g4dn.16xlarge,64,256 GiB,$7.397 per Hour
g4dn.metal,96,384 GiB,$13.298 per Hour
x1.16xlarge,64,976 GiB,$13.005 per Hour
x1.32xlarge,128,"1,952 GiB",$26.01 per Hour
x1e.xlarge,4,122 GiB,$1.626 per Hour
x1e.2xlarge,8,244 GiB,$3.251 per Hour
x1e.4xlarge,16,488 GiB,$6.502 per Hour
x1e.8xlarge,32,976 GiB,$13.005 per Hour
x1e.16xlarge,64,"1,952 GiB",$26.01 per Hour
x1e.32xlarge,128,"3,904 GiB",$52.019 per Hour
r6g.medium,1,8 GiB,$0.0804 per Hour
r6g.large,2,16 GiB,$0.1608 per Hour
r6g.xlarge,4,32 GiB,$0.3216 per Hour
r6g.2xlarge,8,64 GiB,$0.6432 per Hour
r6g.4xlarge,16,128 GiB,$1.2864 per Hour
r6g.8xlarge,32,256 GiB,$2.5728 per Hour
r6g.12xlarge,48,384 GiB,$3.8592 per Hour
r6g.16xlarge,64,512 GiB,$5.1456 per Hour
r6g.metal,64,512 GiB,$5.1456 per Hour
r5.large,2,16 GiB,$0.201 per Hour
r5.xlarge,4,32 GiB,$0.402 per Hour
r5.2xlarge,8,64 GiB,$0.804 per Hour
r5.4xlarge,16,128 GiB,$1.608 per Hour
r5.8xlarge,32,256 GiB,$3.216 per Hour
r5.12xlarge,48,384 GiB,$4.824 per Hour
r5.16xlarge,64,512 GiB,$6.432 per Hour
r5.24xlarge,96,768 GiB,$9.648 per Hour
r5.metal,96,768 GiB,$9.648 per Hour
r5a.large,2,16 GiB,$0.181 per Hour
r5a.xlarge,4,32 GiB,$0.362 per Hour
r5a.2xlarge,8,64 GiB,$0.724 per Hour
r5a.4xlarge,16,128 GiB,$1.448 per Hour
r5a.8xlarge,32,256 GiB,$2.896 per Hour
r5a.12xlarge,48,384 GiB,$4.344 per Hour
r5a.16xlarge,64,512 GiB,$5.792 per Hour
r5a.24xlarge,96,768 GiB,$8.688 per Hour
r5ad.large,2,16 GiB,$0.208 per Hour
r5ad.xlarge,4,32 GiB,$0.416 per Hour
r5ad.2xlarge,8,64 GiB,$0.832 per Hour
r5ad.4xlarge,16,128 GiB,$1.664 per Hour
r5ad.8xlarge,32,256 GiB,$3.328 per Hour
r5ad.12xlarge,48,384 GiB,$4.992 per Hour
r5ad.16xlarge,64,512 GiB,$6.656 per Hour
r5ad.24xlarge,96,768 GiB,$9.984 per Hour
r5d.large,2,16 GiB,$0.228 per Hour
r5d.xlarge,4,32 GiB,$0.456 per Hour
r5d.2xlarge,8,64 GiB,$0.912 per Hour
r5d.4xlarge,16,128 GiB,$1.824 per Hour
r5d.8xlarge,32,256 GiB,$3.648 per Hour
r5d.12xlarge,48,384 GiB,$5.472 per Hour
r5d.16xlarge,64,512 GiB,$7.296 per Hour
r5d.24xlarge,96,768 GiB,$10.944 per Hour
r5d.metal,96,768 GiB,$10.944 per Hour
r4.large,2,15.25 GiB,$0.28 per Hour
r4.xlarge,4,30.5 GiB,$0.56 per Hour
r4.2xlarge,8,61 GiB,$1.12 per Hour
r4.4xlarge,16,122 GiB,$2.24 per Hour
r4.8xlarge,32,244 GiB,$4.48 per Hour
r4.16xlarge,64,488 GiB,$8.96 per Hour
i3.large,2,15.25 GiB,$0.249 per Hour
i3.xlarge,4,30.5 GiB,$0.498 per Hour
i3.2xlarge,8,61 GiB,$0.996 per Hour
i3.4xlarge,16,122 GiB,$1.992 per Hour
i3.8xlarge,32,244 GiB,$3.984 per Hour
i3.16xlarge,64,488 GiB,$7.968 per Hour
i3.metal,64,512 GiB,$7.968 per Hour
i3en.large,2,16 GiB,$0.36 per Hour
i3en.xlarge,4,32 GiB,$0.72 per Hour
i3en.2xlarge,8,64 GiB,$1.44 per Hour
i3en.3xlarge,12,96 GiB,$2.16 per Hour
i3en.6xlarge,24,192 GiB,$4.32 per Hour
i3en.12xlarge,48,384 GiB,$8.64 per Hour
i3en.24xlarge,96,768 GiB,$17.28 per Hour
i3en.metal,96,768 GiB,$17.28 per Hour
inf1.xlarge,4,8 GiB,$0.608 per Hour
inf1.2xlarge,8,16 GiB,$0.965 per Hour
inf1.6xlarge,24,48 GiB,$3.145 per Hour
inf1.24xlarge,96,192 GiB,$12.581 per Hour
