type,cpu,ram,price
t4g.nano,2,0.5 GiB,$0.0047 per Hour
t4g.micro,2,1 GiB,$0.0094 per Hour
t4g.small,2,2 GiB,$0.0188 per Hour
t4g.medium,2,4 GiB,$0.0376 per Hour
t4g.large,2,8 GiB,$0.0752 per Hour
t4g.xlarge,4,16 GiB,$0.1504 per Hour
t4g.2xlarge,8,32 GiB,$0.3008 per Hour
t3.nano,2,0.5 GiB,$0.0059 per Hour
t3.micro,2,1 GiB,$0.0118 per Hour
t3.small,2,2 GiB,$0.0236 per Hour
t3.medium,2,4 GiB,$0.0472 per Hour
t3.large,2,8 GiB,$0.0944 per Hour
t3.xlarge,4,16 GiB,$0.1888 per Hour
t3.2xlarge,8,32 GiB,$0.3776 per Hour
t3a.nano,2,0.5 GiB,$0.0053 per Hour
t3a.micro,2,1 GiB,$0.0106 per Hour
t3a.small,2,2 GiB,$0.0212 per Hour
t3a.medium,2,4 GiB,$0.0425 per Hour
t3a.large,2,8 GiB,$0.085 per Hour
t3a.xlarge,4,16 GiB,$0.1699 per Hour
t3a.2xlarge,8,32 GiB,$0.3398 per Hour
t2.nano,1,0.5 GiB,$0.0066 per Hour
t2.micro,1,1 GiB,$0.0132 per Hour
t2.small,1,2 GiB,$0.026 per Hour
t2.medium,2,4 GiB,$0.052 per Hour
t2.large,2,8 GiB,$0.1056 per Hour
t2.xlarge,4,16 GiB,$0.2112 per Hour
t2.2xlarge,8,32 GiB,$0.4224 per Hour
m6g.medium,1,4 GiB,$0.0444 per Hour
m6g.large,2,8 GiB,$0.0888 per Hour
m6g.xlarge,4,16 GiB,$0.1776 per Hour
m6g.2xlarge,8,32 GiB,$0.3552 per Hour
m6g.4xlarge,16,64 GiB,$0.7104 per Hour
m6g.8xlarge,32,128 GiB,$1.4208 per Hour
m6g.12xlarge,48,192 GiB,$2.1312 per Hour
m6g.16xlarge,64,256 GiB,$2.8416 per Hour
m6g.metal,64,256 GiB,$2.8416 per Hour
m5.large,2,8 GiB,$0.111 per Hour
m5.xlarge,4,16 GiB,$0.222 per Hour
m5.2xlarge,8,32 GiB,$0.444 per Hour
m5.4xlarge,16,64 GiB,$0.888 per Hour
m5.8xlarge,32,128 GiB,$1.776 per Hour
m5.12xlarge,48,192 GiB,$2.664 per Hour
m5.16xlarge,64,256 GiB,$3.552 per Hour
m5.24xlarge,96,384 GiB,$5.328 per Hour
m5.metal,96,384 GiB,$5.328 per Hour
m5a.large,2,8 GiB,$0.10 per Hour
m5a.xlarge,4,16 GiB,$0.20 per Hour
m5a.2xlarge,8,32 GiB,$0.40 per Hour
m5a.4xlarge,16,64 GiB,$0.80 per Hour
m5a.8xlarge,32,128 GiB,$1.60 per Hour
m5a.12xlarge,48,192 GiB,$2.40 per Hour
m5a.16xlarge,64,256 GiB,$3.20 per Hour
m5a.24xlarge,96,384 GiB,$4.80 per Hour
m5ad.large,2,8 GiB,$0.12 per Hour
m5ad.xlarge,4,16 GiB,$0.24 per Hour
m5ad.2xlarge,8,32 GiB,$0.48 per Hour
m5ad.4xlarge,16,64 GiB,$0.96 per Hour
m5ad.8xlarge,32,128 GiB,$1.92 per Hour
m5ad.12xlarge,48,192 GiB,$2.88 per Hour
m5ad.16xlarge,64,256 GiB,$3.84 per Hour
m5ad.24xlarge,96,384 GiB,$5.76 per Hour
m5d.large,2,8 GiB,$0.131 per Hour
m5d.xlarge,4,16 GiB,$0.262 per Hour
m5d.2xlarge,8,32 GiB,$0.524 per Hour
m5d.4xlarge,16,64 GiB,$1.048 per Hour
m5d.8xlarge,32,128 GiB,$2.096 per Hour
m5d.12xlarge,48,192 GiB,$3.144 per Hour
m5d.16xlarge,64,256 GiB,$4.192 per Hour
m5d.24xlarge,96,384 GiB,$6.288 per Hour
m5d.metal,96,384 GiB,$6.288 per Hour
m4.large,2,8 GiB,$0.116 per Hour
m4.xlarge,4,16 GiB,$0.232 per Hour
m4.2xlarge,8,32 GiB,$0.464 per Hour
m4.4xlarge,16,64 GiB,$0.928 per Hour
m4.10xlarge,40,160 GiB,$2.32 per Hour
m4.16xlarge,64,256 GiB,$3.712 per Hour
c6g.medium,1,2 GiB,$0.0404 per Hour
c6g.large,2,4 GiB,$0.0808 per Hour
c6g.xlarge,4,8 GiB,$0.1616 per Hour
c6g.2xlarge,8,16 GiB,$0.3232 per Hour
c6g.4xlarge,16,32 GiB,$0.6464 per Hour
c6g.8xlarge,32,64 GiB,$1.2928 per Hour
c6g.12xlarge,48,96 GiB,$1.9392 per Hour
c6g.16xlarge,64,128 GiB,$2.5856 per Hour
c6g.metal,64,128 GiB,$2.5856 per Hour
c5.large,2,4 GiB,$0.101 per Hour
c5.xlarge,4,8 GiB,$0.202 per Hour
c5.2xlarge,8,16 GiB,$0.404 per Hour
c5.4xlarge,16,32 GiB,$0.808 per Hour
c5.9xlarge,36,72 GiB,$1.818 per Hour
c5.12xlarge,48,96 GiB,$2.424 per Hour
c5.18xlarge,72,144 GiB,$3.636 per Hour
c5.24xlarge,96,192 GiB,$4.848 per Hour
c5.metal,96,192 GiB,$4.848 per Hour
c5a.large,2,4 GiB,$0.091 per Hour
c5a.xlarge,4,8 GiB,$0.182 per Hour
c5a.2xlarge,8,16 GiB,$0.364 per Hour
c5a.4xlarge,16,32 GiB,$0.728 per Hour
c5a.8xlarge,32,64 GiB,$1.456 per Hour
c5a.12xlarge,48,96 GiB,$2.184 per Hour
c5a.16xlarge,64,128 GiB,$2.912 per Hour
c5a.24xlarge,96,192 GiB,$4.368 per Hour
c5d.large,2,4 GiB,$0.115 per Hour
c5d.xlarge,4,8 GiB,$0.23 per Hour
c5d.2xlarge,8,16 GiB,$0.46 per Hour
c5d.4xlarge,16,32 GiB,$0.92 per Hour
c5d.9xlarge,36,72 GiB,$2.07 per Hour
c5d.12xlarge,48,96 GiB,$2.76 per Hour
c5d.18xlarge,72,144 GiB,$4.14 per Hour
c5d.24xlarge,96,192 GiB,$5.52 per Hour
c5d.metal,96,192 GiB,$5.52 per Hour
c5n.large,2,5.25 GiB,$0.128 per Hour
c5n.xlarge,4,10.5 GiB,$0.256 per Hour
c5n.2xlarge,8,21 GiB,$0.512 per Hour
c5n.4xlarge,16,42 GiB,$1.024 per Hour
c5n.9xlarge,36,96 GiB,$2.304 per Hour
c5n.18xlarge,72,192 GiB,$4.608 per Hour
c5n.metal,72,192 GiB,$4.608 per Hour
c4.large,2,3.75 GiB,$0.119 per Hour
c4.xlarge,4,7.5 GiB,$0.237 per Hour
c4.2xlarge,8,15 GiB,$0.476 per Hour
c4.4xlarge,16,30 GiB,$0.95 per Hour
c4.8xlarge,36,60 GiB,$1.902 per Hour
p3.2xlarge,8,61 GiB,$3.589 per Hour
p3.8xlarge,32,244 GiB,$14.356 per Hour
p3.16xlarge,64,488 GiB,$28.712 per Hour
g4ad.4xlarge,16,64 GiB,$1.014 per Hour
g4ad.8xlarge,32,128 GiB,$2.028 per Hour
g4ad.16xlarge,64,256 GiB,$4.056 per Hour
g4dn.xlarge,4,16 GiB,$0.615 per Hour
g4dn.2xlarge,8,32 GiB,$0.88 per Hour
g4dn.4xlarge,16,64 GiB,$1.409 per Hour
g4dn.8xlarge,32,128 GiB,$2.546 per Hour
g4dn.12xlarge,48,192 GiB,$4.577 per Hour
g4dn.16xlarge,64,256 GiB,$5.092 per Hour
g4dn.metal,96,384 GiB,$9.154 per Hour
g3.4xlarge,16,122 GiB,$1.429 per Hour
g3.8xlarge,32,244 GiB,$2.858 per Hour
