type,cpu,ram,price
c5n.metal,72,192 GiB,$4.248 per Hour
c4.large,2,3.75 GiB,$0.11 per Hour
c4.xlarge,4,7.5 GiB,$0.218 per Hour
c4.2xlarge,8,15 GiB,$0.438 per Hour
c4.4xlarge,16,30 GiB,$0.876 per Hour
c4.8xlarge,36,60 GiB,$1.75 per Hour
p3.2xlarge,8,61 GiB,$3.366 per Hour
p3.8xlarge,32,244 GiB,$13.464 per Hour
p3.16xlarge,64,488 GiB,$26.928 per Hour
g4ad.4xlarge,16,64 GiB,$0.968 per Hour
g4ad.8xlarge,32,128 GiB,$1.936 per Hour
g4ad.16xlarge,64,256 GiB,$3.872 per Hour
g4dn.xlarge,4,16 GiB,$0.584 per Hour
g4dn.2xlarge,8,32 GiB,$0.835 per Hour
g4dn.4xlarge,16,64 GiB,$1.337 per Hour
g4dn.8xlarge,32,128 GiB,$2.416 per Hour
g4dn.12xlarge,48,192 GiB,$4.343 per Hour
g4dn.16xlarge,64,256 GiB,$4.832 per Hour
g4dn.metal,96,384 GiB,$8.687 per Hour
g3.4xlarge,16,122 GiB,$1.416 per Hour
g3.8xlarge,32,244 GiB,$2.832 per Hour
g3.16xlarge,64,488 GiB,$5.664 per Hour
x1.16xlarge,64,976 GiB,$7.336 per Hour
x1.32xlarge,128,"1,952 GiB",$14.672 per Hour
x1e.xlarge,4,122 GiB,$0.917 per Hour
x1e.2xlarge,8,244 GiB,$1.834 per Hour
x1e.4xlarge,16,488 GiB,$3.667 per Hour
x1e.8xlarge,32,976 GiB,$7.334 per Hour
x1e.16xlarge,64,"1,952 GiB",$14.669 per Hour
x1e.32xlarge,128,"3,904 GiB",$29.338 per Hour
r6g.medium,1,8 GiB,$0.0552 per Hour
r6g.large,2,16 GiB,$0.1104 per Hour
r6g.xlarge,4,32 GiB,$0.2208 per Hour
r6g.2xlarge,8,64 GiB,$0.4416 per Hour
r6g.4xlarge,16,128 GiB,$0.8832 per Hour
r6g.8xlarge,32,256 GiB,$1.7664 per Hour
r6g.12xlarge,48,384 GiB,$2.6496 per Hour
r6g.16xlarge,64,512 GiB,$3.5328 per Hour
r6g.metal,64,512 GiB,$3.5328 per Hour
r5.large,2,16 GiB,$0.138 per Hour
r5.xlarge,4,32 GiB,$0.276 per Hour
r5.2xlarge,8,64 GiB,$0.552 per Hour
r5.4xlarge,16,128 GiB,$1.104 per Hour
r5.8xlarge,32,256 GiB,$2.208 per Hour
r5.12xlarge,48,384 GiB,$3.312 per Hour
r5.16xlarge,64,512 GiB,$4.416 per Hour
r5.24xlarge,96,768 GiB,$6.624 per Hour
r5.metal,96,768 GiB,$6.624 per Hour
r5a.large,2,16 GiB,$0.124 per Hour
r5a.xlarge,4,32 GiB,$0.248 per Hour
r5a.2xlarge,8,64 GiB,$0.496 per Hour
r5a.4xlarge,16,128 GiB,$0.992 per Hour
r5a.8xlarge,32,256 GiB,$1.984 per Hour
r5a.12xlarge,48,384 GiB,$2.976 per Hour
r5a.16xlarge,64,512 GiB,$3.968 per Hour
r5a.24xlarge,96,768 GiB,$5.952 per Hour
r5ad.large,2,16 GiB,$0.144 per Hour
r5ad.xlarge,4,32 GiB,$0.288 per Hour
r5ad.2xlarge,8,64 GiB,$0.576 per Hour
r5ad.4xlarge,16,128 GiB,$1.152 per Hour
r5ad.8xlarge,32,256 GiB,$2.304 per Hour
r5ad.12xlarge,48,384 GiB,$3.456 per Hour
r5ad.16xlarge,64,512 GiB,$4.608 per Hour
r5ad.24xlarge,96,768 GiB,$6.912 per Hour
r5d.large,2,16 GiB,$0.158 per Hour
r5d.xlarge,4,32 GiB,$0.316 per Hour
r5d.2xlarge,8,64 GiB,$0.632 per Hour
r5d.4xlarge,16,128 GiB,$1.264 per Hour
r5d.8xlarge,32,256 GiB,$2.528 per Hour
r5d.12xlarge,48,384 GiB,$3.792 per Hour
r5d.16xlarge,64,512 GiB,$5.056 per Hour
r5d.24xlarge,96,768 GiB,$7.584 per Hour
r5d.metal,96,768 GiB,$7.584 per Hour
r4.large,2,15.25 GiB,$0.146 per Hour
r4.xlarge,4,30.5 GiB,$0.292 per Hour
r4.2xlarge,8,61 GiB,$0.584 per Hour
r4.4xlarge,16,122 GiB,$1.168 per Hour
r4.8xlarge,32,244 GiB,$2.336 per Hour
r4.16xlarge,64,488 GiB,$4.672 per Hour
i3.large,2,15.25 GiB,$0.172 per Hour
i3.xlarge,4,30.5 GiB,$0.344 per Hour
i3.2xlarge,8,61 GiB,$0.688 per Hour
i3.4xlarge,16,122 GiB,$1.376 per Hour
i3.8xlarge,32,244 GiB,$2.752 per Hour
i3.16xlarge,64,488 GiB,$5.504 per Hour
i3.metal,64,512 GiB,$5.504 per Hour
i3en.large,2,16 GiB,$0.25 per Hour
i3en.xlarge,4,32 GiB,$0.50 per Hour
i3en.2xlarge,8,64 GiB,$1.00 per Hour
i3en.3xlarge,12,96 GiB,$1.50 per Hour
i3en.6xlarge,24,192 GiB,$3.00 per Hour
i3en.12xlarge,48,384 GiB,$6.00 per Hour
i3en.24xlarge,96,768 GiB,$12.00 per Hour
i3en.metal,96,768 GiB,$12.00 per Hour
d2.xlarge,4,30.5 GiB,$0.759 per Hour
d2.2xlarge,8,61 GiB,$1.518 per Hour
d2.4xlarge,16,122 GiB,$3.036 per Hour
d2.8xlarge,36,244 GiB,$6.072 per Hour
inf1.xlarge,4,8 GiB,$0.41 per Hour
inf1.2xlarge,8,16 GiB,$0.651 per Hour
inf1.6xlarge,24,48 GiB,$2.121 per Hour
inf1.24xlarge,96,192 GiB,$8.484 per Hour
