type,cpu,ram,price
a1.medium,1,2 GiB,$0.0255 per Hour
a1.large,2,4 GiB,$0.051 per Hour
a1.xlarge,4,8 GiB,$0.102 per Hour
a1.2xlarge,8,16 GiB,$0.204 per Hour
a1.4xlarge,16,32 GiB,$0.408 per Hour
a1.metal,16,32 GiB,$0.408 per Hour
t4g.nano,2,0.5 GiB,$0.0042 per Hour
t4g.micro,2,1 GiB,$0.0084 per Hour
t4g.small,2,2 GiB,$0.0168 per Hour
t4g.medium,2,4 GiB,$0.0336 per Hour
t4g.large,2,8 GiB,$0.0672 per Hour
t4g.xlarge,4,16 GiB,$0.1344 per Hour
t4g.2xlarge,8,32 GiB,$0.2688 per Hour
t3.nano,2,0.5 GiB,$0.0052 per Hour
t3.micro,2,1 GiB,$0.0104 per Hour
t3.small,2,2 GiB,$0.0208 per Hour
t3.medium,2,4 GiB,$0.0416 per Hour
t3.large,2,8 GiB,$0.0832 per Hour
t3.xlarge,4,16 GiB,$0.1664 per Hour
t3.2xlarge,8,32 GiB,$0.3328 per Hour
t3a.nano,2,0.5 GiB,$0.0047 per Hour
t3a.micro,2,1 GiB,$0.0094 per Hour
t3a.small,2,2 GiB,$0.0188 per Hour
t3a.medium,2,4 GiB,$0.0376 per Hour
t3a.large,2,8 GiB,$0.0752 per Hour
t3a.xlarge,4,16 GiB,$0.1504 per Hour
t3a.2xlarge,8,32 GiB,$0.3008 per Hour
t2.nano,1,0.5 GiB,$0.0058 per Hour
t2.micro,1,1 GiB,$0.0116 per Hour
t2.small,1,2 GiB,$0.023 per Hour
t2.medium,2,4 GiB,$0.0464 per Hour
t2.large,2,8 GiB,$0.0928 per Hour
t2.xlarge,4,16 GiB,$0.1856 per Hour
t2.2xlarge,8,32 GiB,$0.3712 per Hour
m6g.medium,1,4 GiB,$0.0385 per Hour
m6g.large,2,8 GiB,$0.077 per Hour
m6g.xlarge,4,16 GiB,$0.154 per Hour
m6g.2xlarge,8,32 GiB,$0.308 per Hour
