type,cpu,ram,price
m6g.4xlarge,16,64 GiB,$0.616 per Hour
m6g.8xlarge,32,128 GiB,$1.232 per Hour
m6g.12xlarge,48,192 GiB,$1.848 per Hour
m6g.16xlarge,64,256 GiB,$2.464 per Hour
m6g.metal,64,256 GiB,$2.464 per Hour
m6gd.medium,1,4 GiB,$0.0452 per Hour
m6gd.large,2,8 GiB,$0.0904 per Hour
m6gd.xlarge,4,16 GiB,$0.1808 per Hour
m6gd.2xlarge,8,32 GiB,$0.3616 per Hour
m6gd.4xlarge,16,64 GiB,$0.7232 per Hour
m6gd.8xlarge,32,128 GiB,$1.4464 per Hour
m6gd.12xlarge,48,192 GiB,$2.1696 per Hour
m6gd.16xlarge,64,256 GiB,$2.8928 per Hour
m6gd.metal,64,256 GiB,$2.8928 per Hour
m5.large,2,8 GiB,$0.096 per Hour
m5.xlarge,4,16 GiB,$0.192 per Hour
m5.2xlarge,8,32 GiB,$0.384 per Hour
m5.4xlarge,16,64 GiB,$0.768 per Hour
m5.8xlarge,32,128 GiB,$1.536 per Hour
m5.12xlarge,48,192 GiB,$2.304 per Hour
m5.16xlarge,64,256 GiB,$3.072 per Hour
m5.24xlarge,96,384 GiB,$4.608 per Hour
m5.metal,96,384 GiB,$4.608 per Hour
m5a.large,2,8 GiB,$0.086 per Hour
m5a.xlarge,4,16 GiB,$0.172 per Hour
m5a.2xlarge,8,32 GiB,$0.344 per Hour
m5a.4xlarge,16,64 GiB,$0.688 per Hour
m5a.8xlarge,32,128 GiB,$1.376 per Hour
m5a.12xlarge,48,192 GiB,$2.064 per Hour
m5a.16xlarge,64,256 GiB,$2.752 per Hour
m5a.24xlarge,96,384 GiB,$4.128 per Hour
m5ad.large,2,8 GiB,$0.103 per Hour
m5ad.xlarge,4,16 GiB,$0.206 per Hour
m5ad.2xlarge,8,32 GiB,$0.412 per Hour
m5ad.4xlarge,16,64 GiB,$0.824 per Hour
m5ad.8xlarge,32,128 GiB,$1.648 per Hour
m5ad.12xlarge,48,192 GiB,$2.472 per Hour
m5ad.16xlarge,64,256 GiB,$3.296 per Hour
m5ad.24xlarge,96,384 GiB,$4.944 per Hour
m5d.large,2,8 GiB,$0.113 per Hour
m5d.xlarge,4,16 GiB,$0.226 per Hour
m5d.2xlarge,8,32 GiB,$0.452 per Hour
m5d.4xlarge,16,64 GiB,$0.904 per Hour
m5d.8xlarge,32,128 GiB,$1.808 per Hour
m5d.12xlarge,48,192 GiB,$2.712 per Hour
m5d.16xlarge,64,256 GiB,$3.616 per Hour
m5d.24xlarge,96,384 GiB,$5.424 per Hour
m5d.metal,96,384 GiB,$5.424 per Hour
m5dn.large,2,8 GiB,$0.136 per Hour
m5dn.xlarge,4,16 GiB,$0.272 per Hour
m5dn.2xlarge,8,32 GiB,$0.544 per Hour
m5dn.4xlarge,16,64 GiB,$1.088 per Hour
m5dn.8xlarge,32,128 GiB,$2.176 per Hour
m5dn.12xlarge,48,192 GiB,$3.264 per Hour
m5dn.16xlarge,64,256 GiB,$4.352 per Hour
m5dn.24xlarge,96,384 GiB,$6.528 per Hour
m5dn.metal,96,384 GiB,$6.528 per Hour
m5n.large,2,8 GiB,$0.119 per Hour
m5n.xlarge,4,16 GiB,$0.238 per Hour
m5n.2xlarge,8,32 GiB,$0.476 per Hour
m5n.4xlarge,16,64 GiB,$0.952 per Hour
m5n.8xlarge,32,128 GiB,$1.904 per Hour
m5n.12xlarge,48,192 GiB,$2.856 per Hour
m5n.16xlarge,64,256 GiB,$3.808 per Hour
m5n.24xlarge,96,384 GiB,$5.712 per Hour
m5n.metal,96,384 GiB,$5.712 per Hour
m5zn.large,2,8 GiB,$0.1652 per Hour
m5zn.xlarge,4,16 GiB,$0.3303 per Hour
m5zn.2xlarge,8,32 GiB,$0.6607 per Hour
m5zn.3xlarge,12,48 GiB,$0.991 per Hour
m5zn.6xlarge,24,96 GiB,$1.982 per Hour
m5zn.12xlarge,48,192 GiB,$3.9641 per Hour
m5zn.metal,48,192 GiB,$3.9641 per Hour
m4.large,2,8 GiB,$0.10 per Hour
m4.xlarge,4,16 GiB,$0.20 per Hour
m4.2xlarge,8,32 GiB,$0.40 per Hour
m4.4xlarge,16,64 GiB,$0.80 per Hour
m4.10xlarge,40,160 GiB,$2.00 per Hour
m4.16xlarge,64,256 GiB,$3.20 per Hour
c6g.medium,1,2 GiB,$0.034 per Hour
c6g.large,2,4 GiB,$0.068 per Hour
c6g.xlarge,4,8 GiB,$0.136 per Hour
c6g.2xlarge,8,16 GiB,$0.272 per Hour
c6g.4xlarge,16,32 GiB,$0.544 per Hour
c6g.8xlarge,32,64 GiB,$1.088 per Hour
c6g.12xlarge,48,96 GiB,$1.632 per Hour
c6g.16xlarge,64,128 GiB,$2.176 per Hour
c6g.metal,64,128 GiB,$2.176 per Hour
c6gd.medium,1,2 GiB,$0.0384 per Hour
c6gd.large,2,4 GiB,$0.0768 per Hour
c6gd.xlarge,4,8 GiB,$0.1536 per Hour
c6gd.2xlarge,8,16 GiB,$0.3072 per Hour
c6gd.4xlarge,16,32 GiB,$0.6144 per Hour
c6gd.8xlarge,32,64 GiB,$1.2288 per Hour
c6gd.12xlarge,48,96 GiB,$1.8432 per Hour
c6gd.16xlarge,64,128 GiB,$2.4576 per Hour
c6gd.metal,64,128 GiB,$2.4576 per Hour
c6gn.medium,1,2 GiB,$0.0432 per Hour
c6gn.large,2,4 GiB,$0.0864 per Hour
c6gn.xlarge,4,8 GiB,$0.1728 per Hour
c6gn.2xlarge,8,16 GiB,$0.3456 per Hour
c6gn.4xlarge,16,32 GiB,$0.6912 per Hour
c6gn.8xlarge,32,64 GiB,$1.3824 per Hour
c6gn.12xlarge,48,96 GiB,$2.0736 per Hour
c6gn.16xlarge,64,128 GiB,$2.7648 per Hour
c5.large,2,4 GiB,$0.085 per Hour
c5.xlarge,4,8 GiB,$0.17 per Hour
c5.2xlarge,8,16 GiB,$0.34 per Hour
c5.4xlarge,16,32 GiB,$0.68 per Hour
c5.9xlarge,36,72 GiB,$1.53 per Hour
c5.12xlarge,48,96 GiB,$2.04 per Hour
c5.18xlarge,72,144 GiB,$3.06 per Hour
c5.24xlarge,96,192 GiB,$4.08 per Hour
c5.metal,96,192 GiB,$4.08 per Hour
c5a.large,2,4 GiB,$0.077 per Hour
c5a.xlarge,4,8 GiB,$0.154 per Hour
c5a.2xlarge,8,16 GiB,$0.308 per Hour
c5a.4xlarge,16,32 GiB,$0.616 per Hour
c5a.8xlarge,32,64 GiB,$1.232 per Hour
c5a.12xlarge,48,96 GiB,$1.848 per Hour
c5a.16xlarge,64,128 GiB,$2.464 per Hour
c5a.24xlarge,96,192 GiB,$3.696 per Hour
c5ad.large,2,4 GiB,$0.086 per Hour
c5ad.xlarge,4,8 GiB,$0.172 per Hour
c5ad.2xlarge,8,16 GiB,$0.344 per Hour
c5ad.4xlarge,16,32 GiB,$0.688 per Hour
c5ad.8xlarge,32,64 GiB,$1.376 per Hour
c5ad.12xlarge,48,96 GiB,$2.064 per Hour
c5ad.16xlarge,64,128 GiB,$2.752 per Hour
c5ad.24xlarge,96,192 GiB,$4.128 per Hour
c5d.large,2,4 GiB,$0.096 per Hour
c5d.xlarge,4,8 GiB,$0.192 per Hour
c5d.2xlarge,8,16 GiB,$0.384 per Hour
c5d.4xlarge,16,32 GiB,$0.768 per Hour
c5d.9xlarge,36,72 GiB,$1.728 per Hour
c5d.12xlarge,48,96 GiB,$2.304 per Hour
c5d.18xlarge,72,144 GiB,$3.456 per Hour
c5d.24xlarge,96,192 GiB,$4.608 per Hour
c5d.metal,96,192 GiB,$4.608 per Hour
c5n.large,2,5.25 GiB,$0.108 per Hour
c5n.xlarge,4,10.5 GiB,$0.216 per Hour
c5n.2xlarge,8,21 GiB,$0.432 per Hour
c5n.4xlarge,16,42 GiB,$0.864 per Hour
c5n.9xlarge,36,96 GiB,$1.944 per Hour
c5n.18xlarge,72,192 GiB,$3.888 per Hour
c5n.metal,72,192 GiB,$3.888 per Hour
c4.large,2,3.75 GiB,$0.10 per Hour
c4.xlarge,4,7.5 GiB,$0.199 per Hour
c4.2xlarge,8,15 GiB,$0.398 per Hour
c4.4xlarge,16,30 GiB,$0.796 per Hour
c4.8xlarge,36,60 GiB,$1.591 per Hour
p4d.24xlarge,96,"1,152 GiB",$32.7726 per Hour
p3.2xlarge,8,61 GiB,$3.06 per Hour
p3.8xlarge,32,244 GiB,$12.24 per Hour
p3.16xlarge,64,488 GiB,$24.48 per Hour
p3dn.24xlarge,96,768 GiB,$31.212 per Hour
p2.xlarge,4,61 GiB,$0.90 per Hour
p2.8xlarge,32,488 GiB,$7.20 per Hour
p2.16xlarge,64,732 GiB,$14.40 per Hour
g4ad.4xlarge,16,64 GiB,$0.867 per Hour
g4ad.8xlarge,32,128 GiB,$1.734 per Hour
g4ad.16xlarge,64,256 GiB,$3.468 per Hour
g4dn.xlarge,4,16 GiB,$0.526 per Hour
g4dn.2xlarge,8,32 GiB,$0.752 per Hour
g4dn.4xlarge,16,64 GiB,$1.204 per Hour
g4dn.8xlarge,32,128 GiB,$2.176 per Hour
g4dn.12xlarge,48,192 GiB,$3.912 per Hour
g4dn.16xlarge,64,256 GiB,$4.352 per Hour
g4dn.metal,96,384 GiB,$7.824 per Hour
g3.4xlarge,16,122 GiB,$1.14 per Hour
g3.8xlarge,32,244 GiB,$2.28 per Hour
g3.16xlarge,64,488 GiB,$4.56 per Hour
g3s.xlarge,4,30.5 GiB,$0.75 per Hour
x2gd.medium,1,16 GiB,$0.0835 per Hour
x2gd.large,2,32 GiB,$0.167 per Hour
x2gd.xlarge,4,64 GiB,$0.334 per Hour
x2gd.2xlarge,8,128 GiB,$0.668 per Hour
x2gd.4xlarge,16,256 GiB,$1.336 per Hour
x2gd.8xlarge,32,512 GiB,$2.672 per Hour
x2gd.12xlarge,48,768 GiB,$4.008 per Hour
x2gd.16xlarge,64,"1,024 GiB",$5.344 per Hour
x2gd.metal,64,"1,024 GiB",$5.344 per Hour
x1.16xlarge,64,976 GiB,$6.669 per Hour
x1.32xlarge,128,"1,952 GiB",$13.338 per Hour
x1e.xlarge,4,122 GiB,$0.834 per Hour
x1e.2xlarge,8,244 GiB,$1.668 per Hour
x1e.4xlarge,16,488 GiB,$3.336 per Hour
x1e.8xlarge,32,976 GiB,$6.672 per Hour
x1e.16xlarge,64,"1,952 GiB",$13.344 per Hour
x1e.32xlarge,128,"3,904 GiB",$26.688 per Hour
r6g.medium,1,8 GiB,$0.0504 per Hour
r6g.large,2,16 GiB,$0.1008 per Hour
r6g.xlarge,4,32 GiB,$0.2016 per Hour
r6g.2xlarge,8,64 GiB,$0.4032 per Hour
r6g.4xlarge,16,128 GiB,$0.8064 per Hour
r6g.8xlarge,32,256 GiB,$1.6128 per Hour
r6g.12xlarge,48,384 GiB,$2.4192 per Hour
r6g.16xlarge,64,512 GiB,$3.2256 per Hour
r6g.metal,64,512 GiB,$3.2256 per Hour
r6gd.medium,1,8 GiB,$0.0576 per Hour
r6gd.large,2,16 GiB,$0.1152 per Hour
r6gd.xlarge,4,32 GiB,$0.2304 per Hour
r6gd.2xlarge,8,64 GiB,$0.4608 per Hour
r6gd.4xlarge,16,128 GiB,$0.9216 per Hour
r6gd.8xlarge,32,256 GiB,$1.8432 per Hour
r6gd.12xlarge,48,384 GiB,$2.7648 per Hour
r6gd.16xlarge,64,512 GiB,$3.6864 per Hour
r6gd.metal,64,512 GiB,$3.6864 per Hour
r5.large,2,16 GiB,$0.126 per Hour
r5.xlarge,4,32 GiB,$0.252 per Hour
r5.2xlarge,8,64 GiB,$0.504 per Hour
r5.4xlarge,16,128 GiB,$1.008 per Hour
r5.8xlarge,32,256 GiB,$2.016 per Hour
r5.12xlarge,48,384 GiB,$3.024 per Hour
r5.16xlarge,64,512 GiB,$4.032 per Hour
r5.24xlarge,96,768 GiB,$6.048 per Hour
r5.metal,96,768 GiB,$6.048 per Hour
r5a.large,2,16 GiB,$0.113 per Hour
r5a.xlarge,4,32 GiB,$0.226 per Hour
r5a.2xlarge,8,64 GiB,$0.452 per Hour
r5a.4xlarge,16,128 GiB,$0.904 per Hour
r5a.8xlarge,32,256 GiB,$1.808 per Hour
r5a.12xlarge,48,384 GiB,$2.712 per Hour
r5a.16xlarge,64,512 GiB,$3.616 per Hour
r5a.24xlarge,96,768 GiB,$5.424 per Hour
r5ad.large,2,16 GiB,$0.131 per Hour
r5ad.xlarge,4,32 GiB,$0.262 per Hour
r5ad.2xlarge,8,64 GiB,$0.524 per Hour
r5ad.4xlarge,16,128 GiB,$1.048 per Hour
r5ad.8xlarge,32,256 GiB,$2.096 per Hour
r5ad.12xlarge,48,384 GiB,$3.144 per Hour
r5ad.16xlarge,64,512 GiB,$4.192 per Hour
r5ad.24xlarge,96,768 GiB,$6.288 per Hour
r5b.large,2,16 GiB,$0.149 per Hour
r5b.xlarge,4,32 GiB,$0.298 per Hour
r5b.2xlarge,8,64 GiB,$0.596 per Hour
r5b.4xlarge,16,128 GiB,$1.192 per Hour
r5b.8xlarge,32,256 GiB,$2.384 per Hour
r5b.12xlarge,48,384 GiB,$3.576 per Hour
r5b.16xlarge,64,512 GiB,$4.768 per Hour
r5b.24xlarge,96,768 GiB,$7.152 per Hour
r5b.metal,96,768 GiB,$7.152 per Hour
r5d.large,2,16 GiB,$0.144 per Hour
r5d.xlarge,4,32 GiB,$0.288 per Hour
r5d.2xlarge,8,64 GiB,$0.576 per Hour
r5d.4xlarge,16,128 GiB,$1.152 per Hour
r5d.8xlarge,32,256 GiB,$2.304 per Hour
r5d.12xlarge,48,384 GiB,$3.456 per Hour
r5d.16xlarge,64,512 GiB,$4.608 per Hour
r5d.24xlarge,96,768 GiB,$6.912 per Hour
r5d.metal,96,768 GiB,$6.912 per Hour
r5dn.large,2,16 GiB,$0.167 per Hour
r5dn.xlarge,4,32 GiB,$0.334 per Hour
r5dn.2xlarge,8,64 GiB,$0.668 per Hour
r5dn.4xlarge,16,128 GiB,$1.336 per Hour
r5dn.8xlarge,32,256 GiB,$2.672 per Hour
r5dn.12xlarge,48,384 GiB,$4.008 per Hour
r5dn.16xlarge,64,512 GiB,$5.344 per Hour
r5dn.24xlarge,96,768 GiB,$8.016 per Hour
r5dn.metal,96,768 GiB,$8.016 per Hour
r5n.large,2,16 GiB,$0.149 per Hour
r5n.xlarge,4,32 GiB,$0.298 per Hour
r5n.2xlarge,8,64 GiB,$0.596 per Hour
r5n.4xlarge,16,128 GiB,$1.192 per Hour
r5n.8xlarge,32,256 GiB,$2.384 per Hour
r5n.12xlarge,48,384 GiB,$3.576 per Hour
r5n.16xlarge,64,512 GiB,$4.768 per Hour
r5n.24xlarge,96,768 GiB,$7.152 per Hour
r5n.metal,96,768 GiB,$7.152 per Hour
r4.large,2,15.25 GiB,$0.133 per Hour
r4.xlarge,4,30.5 GiB,$0.266 per Hour
r4.2xlarge,8,61 GiB,$0.532 per Hour
r4.4xlarge,16,122 GiB,$1.064 per Hour
r4.8xlarge,32,244 GiB,$2.128 per Hour
r4.16xlarge,64,488 GiB,$4.256 per Hour
z1d.large,2,16 GiB,$0.186 per Hour
z1d.xlarge,4,32 GiB,$0.372 per Hour
z1d.2xlarge,8,64 GiB,$0.744 per Hour
z1d.3xlarge,12,96 GiB,$1.116 per Hour
z1d.6xlarge,24,192 GiB,$2.232 per Hour
z1d.12xlarge,48,384 GiB,$4.464 per Hour
z1d.metal,48,384 GiB,$4.464 per Hour
i3.large,2,15.25 GiB,$0.156 per Hour
i3.xlarge,4,30.5 GiB,$0.312 per Hour
i3.2xlarge,8,61 GiB,$0.624 per Hour
i3.4xlarge,16,122 GiB,$1.248 per Hour
i3.8xlarge,32,244 GiB,$2.496 per Hour
i3.16xlarge,64,488 GiB,$4.992 per Hour
i3.metal,64,512 GiB,$4.992 per Hour
i3en.large,2,16 GiB,$0.226 per Hour
i3en.xlarge,4,32 GiB,$0.452 per Hour
i3en.2xlarge,8,64 GiB,$0.904 per Hour
i3en.3xlarge,12,96 GiB,$1.356 per Hour
i3en.6xlarge,24,192 GiB,$2.712 per Hour
i3en.12xlarge,48,384 GiB,$5.424 per Hour
i3en.24xlarge,96,768 GiB,$10.848 per Hour
i3en.metal,96,768 GiB,$10.848 per Hour
h1.2xlarge,8,32 GiB,$0.468 per Hour
h1.4xlarge,16,64 GiB,$0.936 per Hour
h1.8xlarge,32,128 GiB,$1.872 per Hour
h1.16xlarge,64,256 GiB,$3.744 per Hour
d3.xlarge,4,32 GiB,$0.499 per Hour
d3.2xlarge,8,64 GiB,$0.999 per Hour
d3.4xlarge,16,128 GiB,$1.998 per Hour
d3.8xlarge,32,256 GiB,$3.99552 per Hour
d3en.xlarge,4,16 GiB,$0.526 per Hour
d3en.2xlarge,8,32 GiB,$1.051 per Hour
d3en.4xlarge,16,64 GiB,$2.103 per Hour
d3en.6xlarge,24,96 GiB,$3.154 per Hour
d3en.8xlarge,32,128 GiB,$4.20576 per Hour
d3en.12xlarge,48,192 GiB,$6.30864 per Hour
d2.xlarge,4,30.5 GiB,$0.69 per Hour
d2.2xlarge,8,61 GiB,$1.38 per Hour
d2.4xlarge,16,122 GiB,$2.76 per Hour
d2.8xlarge,36,244 GiB,$5.52 per Hour
f1.2xlarge,8,122 GiB,$1.65 per Hour
f1.4xlarge,16,244 GiB,$3.30 per Hour
f1.16xlarge,64,976 GiB,$13.20 per Hour
inf1.xlarge,4,8 GiB,$0.368 per Hour
inf1.2xlarge,8,16 GiB,$0.584 per Hour
inf1.6xlarge,24,48 GiB,$1.904 per Hour
inf1.24xlarge,96,192 GiB,$7.615 per Hour
