type,cpu,ram,price
t3.nano,2,0.5 GiB,$0.0059 per Hour
t3.micro,2,1 GiB,$0.0118 per Hour
t3.small,2,2 GiB,$0.0236 per Hour
t3.medium,2,4 GiB,$0.0472 per Hour
t3.large,2,8 GiB,$0.0944 per Hour
t3.xlarge,4,16 GiB,$0.1888 per Hour
t3.2xlarge,8,32 GiB,$0.3776 per Hour
t3a.nano,2,0.5 GiB,$0.0053 per Hour
t3a.micro,2,1 GiB,$0.0106 per Hour
t3a.small,2,2 GiB,$0.0212 per Hour
t3a.medium,2,4 GiB,$0.0425 per Hour
t3a.large,2,8 GiB,$0.085 per Hour
t3a.xlarge,4,16 GiB,$0.1699 per Hour
t3a.2xlarge,8,32 GiB,$0.3398 per Hour
t2.nano,1,0.5 GiB,$0.0066 per Hour
t2.micro,1,1 GiB,$0.0132 per Hour
t2.small,1,2 GiB,$0.0264 per Hour
t2.medium,2,4 GiB,$0.0528 per Hour
t2.large,2,8 GiB,$0.1056 per Hour
t2.xlarge,4,16 GiB,$0.2112 per Hour
t2.2xlarge,8,32 GiB,$0.4224 per Hour
m5.large,2,8 GiB,$0.112 per Hour
m5.xlarge,4,16 GiB,$0.224 per Hour
m5.2xlarge,8,32 GiB,$0.448 per Hour
m5.4xlarge,16,64 GiB,$0.896 per Hour
m5.8xlarge,32,128 GiB,$1.792 per Hour
m5.12xlarge,48,192 GiB,$2.688 per Hour
m5.16xlarge,64,256 GiB,$3.584 per Hour
m5.24xlarge,96,384 GiB,$5.376 per Hour
m5.metal,96,384 GiB,$5.376 per Hour
m5a.large,2,8 GiB,$0.101 per Hour
m5a.xlarge,4,16 GiB,$0.202 per Hour
m5a.2xlarge,8,32 GiB,$0.404 per Hour
m5a.4xlarge,16,64 GiB,$0.808 per Hour
m5a.8xlarge,32,128 GiB,$1.616 per Hour
m5a.12xlarge,48,192 GiB,$2.424 per Hour
m5a.16xlarge,64,256 GiB,$3.232 per Hour
m5a.24xlarge,96,384 GiB,$4.848 per Hour
m5ad.large,2,8 GiB,$0.121 per Hour
m5ad.xlarge,4,16 GiB,$0.242 per Hour
m5ad.2xlarge,8,32 GiB,$0.484 per Hour
m5ad.4xlarge,16,64 GiB,$0.968 per Hour
m5ad.8xlarge,32,128 GiB,$1.936 per Hour
m5ad.12xlarge,48,192 GiB,$2.904 per Hour
m5ad.16xlarge,64,256 GiB,$3.872 per Hour
m5ad.24xlarge,96,384 GiB,$5.808 per Hour
m5d.large,2,8 GiB,$0.132 per Hour
m5d.xlarge,4,16 GiB,$0.264 per Hour
m5d.2xlarge,8,32 GiB,$0.528 per Hour
m5d.4xlarge,16,64 GiB,$1.056 per Hour
m5d.8xlarge,32,128 GiB,$2.112 per Hour
m5d.12xlarge,48,192 GiB,$3.168 per Hour
m5d.16xlarge,64,256 GiB,$4.224 per Hour
m5d.24xlarge,96,384 GiB,$6.336 per Hour
m5d.metal,96,384 GiB,$6.336 per Hour
c5.large,2,4 GiB,$0.101 per Hour
c5.xlarge,4,8 GiB,$0.202 per Hour
c5.2xlarge,8,16 GiB,$0.404 per Hour
c5.4xlarge,16,32 GiB,$0.808 per Hour
c5.9xlarge,36,72 GiB,$1.818 per Hour
c5.12xlarge,48,96 GiB,$2.424 per Hour
c5.18xlarge,72,144 GiB,$3.636 per Hour
c5.24xlarge,96,192 GiB,$4.848 per Hour
c5.metal,96,192 GiB,$4.848 per Hour
c5a.large,2,4 GiB,$0.091 per Hour
c5a.xlarge,4,8 GiB,$0.182 per Hour
c5a.2xlarge,8,16 GiB,$0.364 per Hour
c5a.4xlarge,16,32 GiB,$0.728 per Hour
c5a.8xlarge,32,64 GiB,$1.456 per Hour
c5a.12xlarge,48,96 GiB,$2.184 per Hour
c5a.16xlarge,64,128 GiB,$2.912 per Hour
c5a.24xlarge,96,192 GiB,$4.368 per Hour
c5d.large,2,4 GiB,$0.115 per Hour
c5d.xlarge,4,8 GiB,$0.23 per Hour
c5d.2xlarge,8,16 GiB,$0.46 per Hour
c5d.4xlarge,16,32 GiB,$0.92 per Hour
c5d.9xlarge,36,72 GiB,$2.07 per Hour
c5d.18xlarge,72,144 GiB,$4.14 per Hour
g4dn.xlarge,4,16 GiB,$0.615 per Hour
g4dn.2xlarge,8,32 GiB,$0.879 per Hour
g4dn.4xlarge,16,64 GiB,$1.408 per Hour
g4dn.8xlarge,32,128 GiB,$2.544 per Hour
g4dn.12xlarge,48,192 GiB,$4.574 per Hour
g4dn.16xlarge,64,256 GiB,$5.088 per Hour
g4dn.metal,96,384 GiB,$9.148 per Hour
x1.16xlarge,64,976 GiB,$8.403 per Hour
x1.32xlarge,128,"1,952 GiB",$16.806 per Hour
r5.large,2,16 GiB,$0.148 per Hour
r5.xlarge,4,32 GiB,$0.296 per Hour
r5.2xlarge,8,64 GiB,$0.592 per Hour
r5.4xlarge,16,128 GiB,$1.184 per Hour
r5.8xlarge,32,256 GiB,$2.368 per Hour
r5.12xlarge,48,384 GiB,$3.552 per Hour
r5.16xlarge,64,512 GiB,$4.736 per Hour
r5.24xlarge,96,768 GiB,$7.104 per Hour
r5.metal,96,768 GiB,$7.104 per Hour
r5a.large,2,16 GiB,$0.133 per Hour
r5a.xlarge,4,32 GiB,$0.266 per Hour
r5a.2xlarge,8,64 GiB,$0.532 per Hour
r5a.4xlarge,16,128 GiB,$1.064 per Hour
r5a.8xlarge,32,256 GiB,$2.128 per Hour
r5a.12xlarge,48,384 GiB,$3.192 per Hour
r5a.16xlarge,64,512 GiB,$4.256 per Hour
r5a.24xlarge,96,768 GiB,$6.384 per Hour
r5ad.large,2,16 GiB,$0.153 per Hour
r5ad.xlarge,4,32 GiB,$0.306 per Hour
r5ad.2xlarge,8,64 GiB,$0.612 per Hour
r5ad.4xlarge,16,128 GiB,$1.224 per Hour
r5ad.8xlarge,32,256 GiB,$2.448 per Hour
r5ad.12xlarge,48,384 GiB,$3.672 per Hour
r5ad.16xlarge,64,512 GiB,$4.896 per Hour
r5ad.24xlarge,96,768 GiB,$7.344 per Hour
r5d.large,2,16 GiB,$0.169 per Hour
r5d.xlarge,4,32 GiB,$0.338 per Hour
r5d.2xlarge,8,64 GiB,$0.676 per Hour
r5d.4xlarge,16,128 GiB,$1.352 per Hour
r5d.8xlarge,32,256 GiB,$2.704 per Hour
r5d.12xlarge,48,384 GiB,$4.056 per Hour
r5d.16xlarge,64,512 GiB,$5.408 per Hour
r5d.24xlarge,96,768 GiB,$8.112 per Hour
r5d.metal,96,768 GiB,$8.112 per Hour
r4.large,2,15.25 GiB,$0.156 per Hour
r4.xlarge,4,30.5 GiB,$0.312 per Hour
r4.2xlarge,8,61 GiB,$0.624 per Hour
r4.4xlarge,16,122 GiB,$1.248 per Hour
r4.8xlarge,32,244 GiB,$2.496 per Hour
r4.16xlarge,64,488 GiB,$4.992 per Hour
i3.large,2,15.25 GiB,$0.181 per Hour
i3.xlarge,4,30.5 GiB,$0.362 per Hour
i3.2xlarge,8,61 GiB,$0.724 per Hour
i3.4xlarge,16,122 GiB,$1.448 per Hour
i3.8xlarge,32,244 GiB,$2.896 per Hour
i3.16xlarge,64,488 GiB,$5.792 per Hour
i3.metal,64,512 GiB,$5.792 per Hour
i3en.large,2,16 GiB,$0.263 per Hour
i3en.xlarge,4,32 GiB,$0.526 per Hour
i3en.2xlarge,8,64 GiB,$1.052 per Hour
i3en.3xlarge,12,96 GiB,$1.578 per Hour
i3en.6xlarge,24,192 GiB,$3.156 per Hour
i3en.12xlarge,48,384 GiB,$6.312 per Hour
i3en.24xlarge,96,768 GiB,$12.624 per Hour
i3en.metal,96,768 GiB,$12.624 per Hour
d2.xlarge,4,30.5 GiB,$0.772 per Hour
d2.2xlarge,8,61 GiB,$1.544 per Hour
d2.4xlarge,16,122 GiB,$3.088 per Hour
d2.8xlarge,36,244 GiB,$6.176 per Hour
inf1.xlarge,4,8 GiB,$0.43 per Hour
inf1.2xlarge,8,16 GiB,$0.682 per Hour
inf1.6xlarge,24,48 GiB,$2.225 per Hour
inf1.24xlarge,96,192 GiB,$8.898 per Hour
