type,cpu,ram,price
a1.medium,1,2 GiB,$0.0321 per Hour
a1.large,2,4 GiB,$0.0642 per Hour
a1.xlarge,4,8 GiB,$0.1284 per Hour
a1.2xlarge,8,16 GiB,$0.2568 per Hour
a1.4xlarge,16,32 GiB,$0.5136 per Hour
a1.metal,16,32 GiB,$0.514 per Hour
t4g.nano,2,0.5 GiB,$0.0054 per Hour
t4g.micro,2,1 GiB,$0.0108 per Hour
t4g.small,2,2 GiB,$0.0216 per Hour
t4g.medium,2,4 GiB,$0.0432 per Hour
t4g.large,2,8 GiB,$0.0864 per Hour
t4g.xlarge,4,16 GiB,$0.1728 per Hour
t4g.2xlarge,8,32 GiB,$0.3456 per Hour
t3.nano,2,0.5 GiB,$0.0068 per Hour
t3.micro,2,1 GiB,$0.0136 per Hour
t3.small,2,2 GiB,$0.0272 per Hour
t3.medium,2,4 GiB,$0.0544 per Hour
t3.large,2,8 GiB,$0.1088 per Hour
t3.xlarge,4,16 GiB,$0.2176 per Hour
t3.2xlarge,8,32 GiB,$0.4352 per Hour
t3a.nano,2,0.5 GiB,$0.0061 per Hour
t3a.micro,2,1 GiB,$0.0122 per Hour
t3a.small,2,2 GiB,$0.0245 per Hour
t3a.medium,2,4 GiB,$0.049 per Hour
t3a.large,2,8 GiB,$0.0979 per Hour
t3a.xlarge,4,16 GiB,$0.1958 per Hour
t3a.2xlarge,8,32 GiB,$0.3917 per Hour
t2.nano,1,0.5 GiB,$0.0076 per Hour
t2.micro,1,1 GiB,$0.0152 per Hour
t2.small,1,2 GiB,$0.0304 per Hour
t2.medium,2,4 GiB,$0.0608 per Hour
t2.large,2,8 GiB,$0.1216 per Hour
t2.xlarge,4,16 GiB,$0.2432 per Hour
t2.2xlarge,8,32 GiB,$0.4864 per Hour
m6g.medium,1,4 GiB,$0.0495 per Hour
m6g.large,2,8 GiB,$0.099 per Hour
m6g.xlarge,4,16 GiB,$0.198 per Hour
m6g.2xlarge,8,32 GiB,$0.396 per Hour
m6g.4xlarge,16,64 GiB,$0.792 per Hour
m6g.8xlarge,32,128 GiB,$1.584 per Hour
m6g.12xlarge,48,192 GiB,$2.376 per Hour
m6g.16xlarge,64,256 GiB,$3.168 per Hour
m6g.metal,64,256 GiB,$3.168 per Hour
m6gd.medium,1,4 GiB,$0.0585 per Hour
m6gd.large,2,8 GiB,$0.117 per Hour
m6gd.xlarge,4,16 GiB,$0.234 per Hour
m6gd.2xlarge,8,32 GiB,$0.468 per Hour
m6gd.4xlarge,16,64 GiB,$0.936 per Hour
m6gd.8xlarge,32,128 GiB,$1.872 per Hour
m6gd.12xlarge,48,192 GiB,$2.808 per Hour
m6gd.16xlarge,64,256 GiB,$3.744 per Hour
m6gd.metal,64,256 GiB,$3.744 per Hour
m5.large,2,8 GiB,$0.124 per Hour
m5.xlarge,4,16 GiB,$0.248 per Hour
m5.2xlarge,8,32 GiB,$0.496 per Hour
m5.4xlarge,16,64 GiB,$0.992 per Hour
m5.8xlarge,32,128 GiB,$1.984 per Hour
m5.12xlarge,48,192 GiB,$2.976 per Hour
m5.16xlarge,64,256 GiB,$3.968 per Hour
m5.24xlarge,96,384 GiB,$5.952 per Hour
m5.metal,96,384 GiB,$5.952 per Hour
m5a.large,2,8 GiB,$0.112 per Hour
m5a.xlarge,4,16 GiB,$0.224 per Hour
m5a.2xlarge,8,32 GiB,$0.448 per Hour
m5a.4xlarge,16,64 GiB,$0.896 per Hour
m5a.8xlarge,32,128 GiB,$1.792 per Hour
m5a.12xlarge,48,192 GiB,$2.688 per Hour
m5a.16xlarge,64,256 GiB,$3.584 per Hour
m5a.24xlarge,96,384 GiB,$5.376 per Hour
m5ad.large,2,8 GiB,$0.134 per Hour
m5ad.xlarge,4,16 GiB,$0.268 per Hour
m5ad.2xlarge,8,32 GiB,$0.536 per Hour
m5ad.4xlarge,16,64 GiB,$1.072 per Hour
m5ad.8xlarge,32,128 GiB,$2.144 per Hour
m5ad.12xlarge,48,192 GiB,$3.216 per Hour
m5ad.16xlarge,64,256 GiB,$4.288 per Hour
m5ad.24xlarge,96,384 GiB,$6.432 per Hour
m5d.large,2,8 GiB,$0.146 per Hour
m5d.xlarge,4,16 GiB,$0.292 per Hour
m5d.2xlarge,8,32 GiB,$0.584 per Hour
m5d.4xlarge,16,64 GiB,$1.168 per Hour
m5d.8xlarge,32,128 GiB,$2.336 per Hour
m5d.12xlarge,48,192 GiB,$3.504 per Hour
m5d.16xlarge,64,256 GiB,$4.672 per Hour
m5d.24xlarge,96,384 GiB,$7.008 per Hour
m5d.metal,96,384 GiB,$7.008 per Hour
m5dn.large,2,8 GiB,$0.175 per Hour
m5dn.xlarge,4,16 GiB,$0.35 per Hour
m5dn.2xlarge,8,32 GiB,$0.70 per Hour
m5dn.4xlarge,16,64 GiB,$1.40 per Hour
m5dn.8xlarge,32,128 GiB,$2.80 per Hour
m5dn.12xlarge,48,192 GiB,$4.20 per Hour
m5dn.16xlarge,64,256 GiB,$5.60 per Hour
m5dn.24xlarge,96,384 GiB,$8.40 per Hour
m5dn.metal,96,384 GiB,$8.40 per Hour
m5n.large,2,8 GiB,$0.153 per Hour
m5n.xlarge,4,16 GiB,$0.306 per Hour
m5n.2xlarge,8,32 GiB,$0.612 per Hour
m5n.4xlarge,16,64 GiB,$1.224 per Hour
m5n.8xlarge,32,128 GiB,$2.448 per Hour
m5n.12xlarge,48,192 GiB,$3.672 per Hour
m5n.16xlarge,64,256 GiB,$4.896 per Hour
m5n.24xlarge,96,384 GiB,$7.344 per Hour
m5n.metal,96,384 GiB,$7.344 per Hour
m5zn.large,2,8 GiB,$0.2134 per Hour
m5zn.xlarge,4,16 GiB,$0.4267 per Hour
m5zn.2xlarge,8,32 GiB,$0.8534 per Hour
m5zn.3xlarge,12,48 GiB,$1.2801 per Hour
m5zn.6xlarge,24,96 GiB,$2.5602 per Hour
m5zn.12xlarge,48,192 GiB,$5.1204 per Hour
m5zn.metal,48,192 GiB,$5.1204 per Hour
m4.large,2,8 GiB,$0.129 per Hour
m4.xlarge,4,16 GiB,$0.258 per Hour
m4.2xlarge,8,32 GiB,$0.516 per Hour
m4.4xlarge,16,64 GiB,$1.032 per Hour
m4.10xlarge,40,160 GiB,$2.58 per Hour
m4.16xlarge,64,256 GiB,$4.128 per Hour
c6g.medium,1,2 GiB,$0.0428 per Hour
c6g.large,2,4 GiB,$0.0856 per Hour
c6g.xlarge,4,8 GiB,$0.1712 per Hour
c6g.2xlarge,8,16 GiB,$0.3424 per Hour
c6g.4xlarge,16,32 GiB,$0.6848 per Hour
c6g.8xlarge,32,64 GiB,$1.3696 per Hour
c6g.12xlarge,48,96 GiB,$2.0544 per Hour
c6g.16xlarge,64,128 GiB,$2.7392 per Hour
c6g.metal,64,128 GiB,$2.7392 per Hour
