type,cpu,ram,price
c6g.large,2,4 GiB,$0.0776 per Hour
c6g.xlarge,4,8 GiB,$0.1552 per Hour
c6g.2xlarge,8,16 GiB,$0.3104 per Hour
c6g.4xlarge,16,32 GiB,$0.6208 per Hour
c6g.8xlarge,32,64 GiB,$1.2416 per Hour
c6g.12xlarge,48,96 GiB,$1.8624 per Hour
c6g.16xlarge,64,128 GiB,$2.4832 per Hour
c6g.metal,64,128 GiB,$2.4832 per Hour
c6gd.medium,1,2 GiB,$0.0445 per Hour
c6gd.large,2,4 GiB,$0.089 per Hour
c6gd.xlarge,4,8 GiB,$0.178 per Hour
c6gd.2xlarge,8,16 GiB,$0.356 per Hour
c6gd.4xlarge,16,32 GiB,$0.712 per Hour
c6gd.8xlarge,32,64 GiB,$1.424 per Hour
c6gd.12xlarge,48,96 GiB,$2.136 per Hour
c6gd.16xlarge,64,128 GiB,$2.848 per Hour
c6gd.metal,64,128 GiB,$2.848 per Hour
c5.large,2,4 GiB,$0.097 per Hour
c5.xlarge,4,8 GiB,$0.194 per Hour
c5.2xlarge,8,16 GiB,$0.388 per Hour
c5.4xlarge,16,32 GiB,$0.776 per Hour
c5.9xlarge,36,72 GiB,$1.746 per Hour
c5.12xlarge,48,96 GiB,$2.328 per Hour
c5.18xlarge,72,144 GiB,$3.492 per Hour
c5.24xlarge,96,192 GiB,$4.656 per Hour
c5.metal,96,192 GiB,$4.656 per Hour
c5a.large,2,4 GiB,$0.087 per Hour
c5a.xlarge,4,8 GiB,$0.174 per Hour
c5a.2xlarge,8,16 GiB,$0.348 per Hour
c5a.4xlarge,16,32 GiB,$0.696 per Hour
c5a.8xlarge,32,64 GiB,$1.392 per Hour
c5a.12xlarge,48,96 GiB,$2.088 per Hour
c5a.16xlarge,64,128 GiB,$2.784 per Hour
c5a.24xlarge,96,192 GiB,$4.176 per Hour
c5ad.large,2,4 GiB,$0.10 per Hour
c5ad.xlarge,4,8 GiB,$0.20 per Hour
c5ad.2xlarge,8,16 GiB,$0.40 per Hour
c5ad.4xlarge,16,32 GiB,$0.80 per Hour
c5ad.8xlarge,32,64 GiB,$1.60 per Hour
c5ad.12xlarge,48,96 GiB,$2.40 per Hour
c5ad.16xlarge,64,128 GiB,$3.20 per Hour
c5ad.24xlarge,96,192 GiB,$4.80 per Hour
c5d.large,2,4 GiB,$0.111 per Hour
c5d.xlarge,4,8 GiB,$0.222 per Hour
c5d.2xlarge,8,16 GiB,$0.444 per Hour
c5d.4xlarge,16,32 GiB,$0.888 per Hour
c5d.9xlarge,36,72 GiB,$1.998 per Hour
c5d.12xlarge,48,96 GiB,$2.664 per Hour
c5d.18xlarge,72,144 GiB,$3.996 per Hour
c5d.24xlarge,96,192 GiB,$5.328 per Hour
c5d.metal,96,192 GiB,$5.328 per Hour
c5n.large,2,5.25 GiB,$0.123 per Hour
c5n.xlarge,4,10.5 GiB,$0.246 per Hour
c5n.2xlarge,8,21 GiB,$0.492 per Hour
c5n.4xlarge,16,42 GiB,$0.984 per Hour
c5n.9xlarge,36,96 GiB,$2.214 per Hour
c5n.18xlarge,72,192 GiB,$4.428 per Hour
c5n.metal,72,192 GiB,$4.428 per Hour
c4.large,2,3.75 GiB,$0.114 per Hour
c4.xlarge,4,7.5 GiB,$0.227 per Hour
c4.2xlarge,8,15 GiB,$0.454 per Hour
c4.4xlarge,16,30 GiB,$0.909 per Hour
c4.8xlarge,36,60 GiB,$1.817 per Hour
p3.2xlarge,8,61 GiB,$3.823 per Hour
p3.8xlarge,32,244 GiB,$15.292 per Hour
p3.16xlarge,64,488 GiB,$30.584 per Hour
p2.xlarge,4,61 GiB,$1.326 per Hour
p2.8xlarge,32,488 GiB,$10.608 per Hour
p2.16xlarge,64,732 GiB,$21.216 per Hour
g4ad.4xlarge,16,64 GiB,$1.084 per Hour
g4ad.8xlarge,32,128 GiB,$2.168 per Hour
g4ad.16xlarge,64,256 GiB,$4.336 per Hour
g4dn.xlarge,4,16 GiB,$0.658 per Hour
g4dn.2xlarge,8,32 GiB,$0.94 per Hour
g4dn.4xlarge,16,64 GiB,$1.505 per Hour
g4dn.8xlarge,32,128 GiB,$2.72 per Hour
g4dn.12xlarge,48,192 GiB,$4.89 per Hour
g4dn.16xlarge,64,256 GiB,$5.44 per Hour
g4dn.metal,96,384 GiB,$9.78 per Hour
g3.4xlarge,16,122 GiB,$1.425 per Hour
g3.8xlarge,32,244 GiB,$2.85 per Hour
g3.16xlarge,64,488 GiB,$5.70 per Hour
g3s.xlarge,4,30.5 GiB,$0.938 per Hour
x1.16xlarge,64,976 GiB,$9.337 per Hour
x1.32xlarge,128,"1,952 GiB",$18.674 per Hour
x1e.xlarge,4,122 GiB,$1.167 per Hour
x1e.2xlarge,8,244 GiB,$2.334 per Hour
x1e.4xlarge,16,488 GiB,$4.668 per Hour
x1e.8xlarge,32,976 GiB,$9.336 per Hour
x1e.16xlarge,64,"1,952 GiB",$18.672 per Hour
x1e.32xlarge,128,"3,904 GiB",$37.344 per Hour
r6g.medium,1,8 GiB,$0.0608 per Hour
r6g.large,2,16 GiB,$0.1216 per Hour
r6g.xlarge,4,32 GiB,$0.2432 per Hour
r6g.2xlarge,8,64 GiB,$0.4864 per Hour
r6g.4xlarge,16,128 GiB,$0.9728 per Hour
r6g.8xlarge,32,256 GiB,$1.9456 per Hour
r6g.12xlarge,48,384 GiB,$2.9184 per Hour
r6g.16xlarge,64,512 GiB,$3.8912 per Hour
r6g.metal,64,512 GiB,$3.8912 per Hour
r6gd.medium,1,8 GiB,$0.069 per Hour
r6gd.large,2,16 GiB,$0.138 per Hour
r6gd.xlarge,4,32 GiB,$0.276 per Hour
r6gd.2xlarge,8,64 GiB,$0.552 per Hour
r6gd.4xlarge,16,128 GiB,$1.104 per Hour
r6gd.8xlarge,32,256 GiB,$2.208 per Hour
r6gd.12xlarge,48,384 GiB,$3.312 per Hour
r6gd.16xlarge,64,512 GiB,$4.416 per Hour
r6gd.metal,64,512 GiB,$4.416 per Hour
r5.large,2,16 GiB,$0.152 per Hour
r5.xlarge,4,32 GiB,$0.304 per Hour
