type,cpu,ram,price
a1.medium,1,2 GiB,$0.0294 per Hour
a1.large,2,4 GiB,$0.0588 per Hour
a1.xlarge,4,8 GiB,$0.1176 per Hour
a1.2xlarge,8,16 GiB,$0.2352 per Hour
a1.4xlarge,16,32 GiB,$0.4704 per Hour
a1.metal,16,32 GiB,$0.47 per Hour
t4g.nano,2,0.5 GiB,$0.0053 per Hour
t4g.micro,2,1 GiB,$0.0106 per Hour
t4g.small,2,2 GiB,$0.0212 per Hour
t4g.medium,2,4 GiB,$0.0424 per Hour
t4g.large,2,8 GiB,$0.0848 per Hour
t4g.xlarge,4,16 GiB,$0.1696 per Hour
t4g.2xlarge,8,32 GiB,$0.3392 per Hour
t3.nano,2,0.5 GiB,$0.0066 per Hour
t3.micro,2,1 GiB,$0.0132 per Hour
t3.small,2,2 GiB,$0.0264 per Hour
t3.medium,2,4 GiB,$0.0528 per Hour
t3.large,2,8 GiB,$0.1056 per Hour
t3.xlarge,4,16 GiB,$0.2112 per Hour
t3.2xlarge,8,32 GiB,$0.4224 per Hour
t3a.nano,2,0.5 GiB,$0.0059 per Hour
t3a.micro,2,1 GiB,$0.0118 per Hour
t3a.small,2,2 GiB,$0.0236 per Hour
t3a.medium,2,4 GiB,$0.0472 per Hour
t3a.large,2,8 GiB,$0.0944 per Hour
t3a.xlarge,4,16 GiB,$0.1888 per Hour
t3a.2xlarge,8,32 GiB,$0.3776 per Hour
t2.nano,1,0.5 GiB,$0.0073 per Hour
t2.micro,1,1 GiB,$0.0146 per Hour
t2.small,1,2 GiB,$0.0292 per Hour
t2.medium,2,4 GiB,$0.0584 per Hour
t2.large,2,8 GiB,$0.1168 per Hour
t2.xlarge,4,16 GiB,$0.2336 per Hour
t2.2xlarge,8,32 GiB,$0.4672 per Hour
m6g.medium,1,4 GiB,$0.048 per Hour
m6g.large,2,8 GiB,$0.096 per Hour
m6g.xlarge,4,16 GiB,$0.192 per Hour
m6g.2xlarge,8,32 GiB,$0.384 per Hour
m6g.4xlarge,16,64 GiB,$0.768 per Hour
m6g.8xlarge,32,128 GiB,$1.536 per Hour
m6g.12xlarge,48,192 GiB,$2.304 per Hour
m6g.16xlarge,64,256 GiB,$3.072 per Hour
m6g.metal,64,256 GiB,$3.072 per Hour
m6gd.medium,1,4 GiB,$0.0565 per Hour
m6gd.large,2,8 GiB,$0.113 per Hour
m6gd.xlarge,4,16 GiB,$0.226 per Hour
m6gd.2xlarge,8,32 GiB,$0.452 per Hour
m6gd.4xlarge,16,64 GiB,$0.904 per Hour
m6gd.8xlarge,32,128 GiB,$1.808 per Hour
m6gd.12xlarge,48,192 GiB,$2.712 per Hour
m6gd.16xlarge,64,256 GiB,$3.616 per Hour
m6gd.metal,64,256 GiB,$3.616 per Hour
m5.large,2,8 GiB,$0.12 per Hour
m5.xlarge,4,16 GiB,$0.24 per Hour
m5.2xlarge,8,32 GiB,$0.48 per Hour
m5.4xlarge,16,64 GiB,$0.96 per Hour
m5.8xlarge,32,128 GiB,$1.92 per Hour
m5.12xlarge,48,192 GiB,$2.88 per Hour
m5.16xlarge,64,256 GiB,$3.84 per Hour
m5.24xlarge,96,384 GiB,$5.76 per Hour
m5.metal,96,384 GiB,$5.76 per Hour
m5a.large,2,8 GiB,$0.108 per Hour
m5a.xlarge,4,16 GiB,$0.216 per Hour
m5a.2xlarge,8,32 GiB,$0.432 per Hour
m5a.4xlarge,16,64 GiB,$0.864 per Hour
m5a.8xlarge,32,128 GiB,$1.728 per Hour
m5a.12xlarge,48,192 GiB,$2.592 per Hour
m5a.16xlarge,64,256 GiB,$3.456 per Hour
m5a.24xlarge,96,384 GiB,$5.184 per Hour
m5ad.large,2,8 GiB,$0.129 per Hour
m5ad.xlarge,4,16 GiB,$0.258 per Hour
m5ad.2xlarge,8,32 GiB,$0.516 per Hour
m5ad.4xlarge,16,64 GiB,$1.032 per Hour
m5ad.8xlarge,32,128 GiB,$2.064 per Hour
m5ad.12xlarge,48,192 GiB,$3.096 per Hour
m5ad.16xlarge,64,256 GiB,$4.128 per Hour
m5ad.24xlarge,96,384 GiB,$6.192 per Hour
m5d.large,2,8 GiB,$0.141 per Hour
m5d.xlarge,4,16 GiB,$0.282 per Hour
m5d.2xlarge,8,32 GiB,$0.564 per Hour
m5d.4xlarge,16,64 GiB,$1.128 per Hour
m5d.8xlarge,32,128 GiB,$2.256 per Hour
m5d.12xlarge,48,192 GiB,$3.384 per Hour
m5d.16xlarge,64,256 GiB,$4.512 per Hour
m5d.24xlarge,96,384 GiB,$6.768 per Hour
m5d.metal,96,384 GiB,$6.768 per Hour
m5dn.large,2,8 GiB,$0.167 per Hour
m5dn.xlarge,4,16 GiB,$0.334 per Hour
m5dn.2xlarge,8,32 GiB,$0.668 per Hour
m5dn.4xlarge,16,64 GiB,$1.336 per Hour
m5dn.8xlarge,32,128 GiB,$2.672 per Hour
m5dn.12xlarge,48,192 GiB,$4.008 per Hour
m5dn.16xlarge,64,256 GiB,$5.344 per Hour
m5dn.24xlarge,96,384 GiB,$8.016 per Hour
m5dn.metal,96,384 GiB,$8.016 per Hour
m5n.large,2,8 GiB,$0.146 per Hour
m5n.xlarge,4,16 GiB,$0.292 per Hour
m5n.2xlarge,8,32 GiB,$0.584 per Hour
m5n.4xlarge,16,64 GiB,$1.168 per Hour
m5n.8xlarge,32,128 GiB,$2.336 per Hour
m5n.12xlarge,48,192 GiB,$3.504 per Hour
m5n.16xlarge,64,256 GiB,$4.672 per Hour
m5n.24xlarge,96,384 GiB,$7.008 per Hour
m5n.metal,96,384 GiB,$7.008 per Hour
m5zn.large,2,8 GiB,$0.2065 per Hour
m5zn.xlarge,4,16 GiB,$0.413 per Hour
m5zn.2xlarge,8,32 GiB,$0.826 per Hour
m5zn.3xlarge,12,48 GiB,$1.239 per Hour
m5zn.6xlarge,24,96 GiB,$2.478 per Hour
m5zn.12xlarge,48,192 GiB,$4.956 per Hour
m5zn.metal,48,192 GiB,$4.956 per Hour
m4.large,2,8 GiB,$0.125 per Hour
m4.xlarge,4,16 GiB,$0.25 per Hour
m4.2xlarge,8,32 GiB,$0.50 per Hour
m4.4xlarge,16,64 GiB,$1.00 per Hour
m4.10xlarge,40,160 GiB,$2.50 per Hour
m4.16xlarge,64,256 GiB,$4.00 per Hour
c6g.medium,1,2 GiB,$0.0392 per Hour
c6g.large,2,4 GiB,$0.0784 per Hour
c6g.xlarge,4,8 GiB,$0.1568 per Hour
c6g.2xlarge,8,16 GiB,$0.3136 per Hour
c6g.4xlarge,16,32 GiB,$0.6272 per Hour
c6g.8xlarge,32,64 GiB,$1.2544 per Hour
c6g.12xlarge,48,96 GiB,$1.8816 per Hour
c6g.16xlarge,64,128 GiB,$2.5088 per Hour
c6g.metal,64,128 GiB,$2.5088 per Hour
c6gd.medium,1,2 GiB,$0.045 per Hour
c6gd.large,2,4 GiB,$0.09 per Hour
c6gd.xlarge,4,8 GiB,$0.18 per Hour
c6gd.2xlarge,8,16 GiB,$0.36 per Hour
c6gd.4xlarge,16,32 GiB,$0.72 per Hour
c6gd.8xlarge,32,64 GiB,$1.44 per Hour
c6gd.12xlarge,48,96 GiB,$2.16 per Hour
c6gd.16xlarge,64,128 GiB,$2.88 per Hour
c6gd.metal,64,128 GiB,$2.88 per Hour
c5.large,2,4 GiB,$0.098 per Hour
c5.xlarge,4,8 GiB,$0.196 per Hour
c5.2xlarge,8,16 GiB,$0.392 per Hour
c5.4xlarge,16,32 GiB,$0.784 per Hour
c5.9xlarge,36,72 GiB,$1.764 per Hour
c5.12xlarge,48,96 GiB,$2.352 per Hour
c5.18xlarge,72,144 GiB,$3.528 per Hour
c5.24xlarge,96,192 GiB,$4.704 per Hour
c5.metal,96,192 GiB,$4.704 per Hour
c5a.large,2,4 GiB,$0.088 per Hour
c5a.xlarge,4,8 GiB,$0.176 per Hour
c5a.2xlarge,8,16 GiB,$0.352 per Hour
c5a.4xlarge,16,32 GiB,$0.704 per Hour
c5a.8xlarge,32,64 GiB,$1.408 per Hour
c5a.12xlarge,48,96 GiB,$2.112 per Hour
c5a.16xlarge,64,128 GiB,$2.816 per Hour
c5a.24xlarge,96,192 GiB,$4.224 per Hour
c5ad.large,2,4 GiB,$0.101 per Hour
c5ad.xlarge,4,8 GiB,$0.202 per Hour
c5ad.2xlarge,8,16 GiB,$0.404 per Hour
c5ad.4xlarge,16,32 GiB,$0.808 per Hour
c5ad.8xlarge,32,64 GiB,$1.616 per Hour
c5ad.12xlarge,48,96 GiB,$2.424 per Hour
c5ad.16xlarge,64,128 GiB,$3.232 per Hour
c5ad.24xlarge,96,192 GiB,$4.848 per Hour
c5d.large,2,4 GiB,$0.112 per Hour
c5d.xlarge,4,8 GiB,$0.224 per Hour
c5d.2xlarge,8,16 GiB,$0.448 per Hour
c5d.4xlarge,16,32 GiB,$0.896 per Hour
c5d.9xlarge,36,72 GiB,$2.016 per Hour
c5d.12xlarge,48,96 GiB,$2.688 per Hour
c5d.18xlarge,72,144 GiB,$4.032 per Hour
c5d.24xlarge,96,192 GiB,$5.376 per Hour
c5d.metal,96,192 GiB,$5.376 per Hour
c5n.large,2,5.25 GiB,$0.124 per Hour
c5n.xlarge,4,10.5 GiB,$0.248 per Hour
c5n.2xlarge,8,21 GiB,$0.496 per Hour
c5n.4xlarge,16,42 GiB,$0.992 per Hour
c5n.9xlarge,36,96 GiB,$2.232 per Hour
c5n.18xlarge,72,192 GiB,$4.464 per Hour
c5n.metal,72,192 GiB,$4.464 per Hour
c4.large,2,3.75 GiB,$0.115 per Hour
c4.xlarge,4,7.5 GiB,$0.231 per Hour
c4.2xlarge,8,15 GiB,$0.462 per Hour
c4.4xlarge,16,30 GiB,$0.924 per Hour
c4.8xlarge,36,60 GiB,$1.848 per Hour
p3.2xlarge,8,61 GiB,$4.234 per Hour
p3.8xlarge,32,244 GiB,$16.936 per Hour
p3.16xlarge,64,488 GiB,$33.872 per Hour
p2.xlarge,4,61 GiB,$1.718 per Hour
p2.8xlarge,32,488 GiB,$13.744 per Hour
p2.16xlarge,64,732 GiB,$27.488 per Hour
g4dn.xlarge,4,16 GiB,$0.736 per Hour
g4dn.2xlarge,8,32 GiB,$1.052 per Hour
g4dn.4xlarge,16,64 GiB,$1.685 per Hour
g4dn.8xlarge,32,128 GiB,$3.045 per Hour
g4dn.12xlarge,48,192 GiB,$5.474 per Hour
g4dn.16xlarge,64,256 GiB,$6.089 per Hour
g4dn.metal,96,384 GiB,$10.948 per Hour
g3.4xlarge,16,122 GiB,$1.67 per Hour
g3.8xlarge,32,244 GiB,$3.34 per Hour
g3.16xlarge,64,488 GiB,$6.68 per Hour
x1.16xlarge,64,976 GiB,$9.671 per Hour
x1.32xlarge,128,"1,952 GiB",$19.341 per Hour
x1e.xlarge,4,122 GiB,$1.209 per Hour
x1e.2xlarge,8,244 GiB,$2.418 per Hour
x1e.4xlarge,16,488 GiB,$4.836 per Hour
x1e.8xlarge,32,976 GiB,$9.672 per Hour
x1e.16xlarge,64,"1,952 GiB",$19.344 per Hour
x1e.32xlarge,128,"3,904 GiB",$38.688 per Hour
r6g.medium,1,8 GiB,$0.0608 per Hour
r6g.large,2,16 GiB,$0.1216 per Hour
r6g.xlarge,4,32 GiB,$0.2432 per Hour
