type,cpu,ram,price
c5n.large,2,5.25 GiB,$0.108 per Hour
c5n.xlarge,4,10.5 GiB,$0.216 per Hour
c5n.2xlarge,8,21 GiB,$0.432 per Hour
c5n.4xlarge,16,42 GiB,$0.864 per Hour
c5n.9xlarge,36,96 GiB,$1.944 per Hour
c5n.18xlarge,72,192 GiB,$3.888 per Hour
c5n.metal,72,192 GiB,$3.888 per Hour
c4.large,2,3.75 GiB,$0.10 per Hour
c4.xlarge,4,7.5 GiB,$0.20 per Hour
c4.2xlarge,8,15 GiB,$0.40 per Hour
c4.4xlarge,16,30 GiB,$0.80 per Hour
c4.8xlarge,36,60 GiB,$1.60 per Hour
p2.xlarge,4,61 GiB,$1.718 per Hour
p2.8xlarge,32,488 GiB,$13.744 per Hour
p2.16xlarge,64,732 GiB,$27.488 per Hour
g4dn.xlarge,4,16 GiB,$0.579 per Hour
g4dn.2xlarge,8,32 GiB,$0.828 per Hour
g4dn.4xlarge,16,64 GiB,$1.325 per Hour
g4dn.8xlarge,32,128 GiB,$2.395 per Hour
g4dn.12xlarge,48,192 GiB,$4.306 per Hour
g4dn.16xlarge,64,256 GiB,$4.791 per Hour
g4dn.metal,96,384 GiB,$8.612 per Hour
x1.16xlarge,64,976 GiB,$6.881 per Hour
x1.32xlarge,128,"1,952 GiB",$13.762 per Hour
x1e.xlarge,4,122 GiB,$0.86 per Hour
x1e.2xlarge,8,244 GiB,$1.72 per Hour
x1e.4xlarge,16,488 GiB,$3.44 per Hour
x1e.8xlarge,32,976 GiB,$6.88 per Hour
x1e.16xlarge,64,"1,952 GiB",$13.76 per Hour
x1e.32xlarge,128,"3,904 GiB",$27.52 per Hour
r6g.medium,1,8 GiB,$0.0325 per Hour
r6g.large,2,16 GiB,$0.065 per Hour
r6g.xlarge,4,32 GiB,$0.13 per Hour
r6g.2xlarge,8,64 GiB,$0.26 per Hour
r6g.4xlarge,16,128 GiB,$0.52 per Hour
r6g.8xlarge,32,256 GiB,$1.04 per Hour
r6g.12xlarge,48,384 GiB,$1.56 per Hour
r6g.16xlarge,64,512 GiB,$2.08 per Hour
r6g.metal,64,512 GiB,$2.08 per Hour
r5.large,2,16 GiB,$0.13 per Hour
r5.xlarge,4,32 GiB,$0.26 per Hour
r5.2xlarge,8,64 GiB,$0.52 per Hour
r5.4xlarge,16,128 GiB,$1.04 per Hour
r5.8xlarge,32,256 GiB,$2.08 per Hour
r5.12xlarge,48,384 GiB,$3.12 per Hour
r5.16xlarge,64,512 GiB,$4.16 per Hour
r5.24xlarge,96,768 GiB,$6.24 per Hour
r5.metal,96,768 GiB,$6.24 per Hour
r5a.large,2,16 GiB,$0.072 per Hour
r5a.xlarge,4,32 GiB,$0.143 per Hour
r5a.2xlarge,8,64 GiB,$0.286 per Hour
r5a.4xlarge,16,128 GiB,$0.572 per Hour
r5a.8xlarge,32,256 GiB,$1.144 per Hour
r5a.12xlarge,48,384 GiB,$1.716 per Hour
r5a.16xlarge,64,512 GiB,$2.288 per Hour
r5a.24xlarge,96,768 GiB,$3.432 per Hour
r5ad.large,2,16 GiB,$0.083 per Hour
r5ad.xlarge,4,32 GiB,$0.166 per Hour
r5ad.2xlarge,8,64 GiB,$0.332 per Hour
r5ad.4xlarge,16,128 GiB,$0.664 per Hour
r5ad.8xlarge,32,256 GiB,$1.329 per Hour
r5ad.12xlarge,48,384 GiB,$1.993 per Hour
r5ad.16xlarge,64,512 GiB,$2.658 per Hour
r5ad.24xlarge,96,768 GiB,$3.986 per Hour
r5d.large,2,16 GiB,$0.151 per Hour
r5d.xlarge,4,32 GiB,$0.302 per Hour
r5d.2xlarge,8,64 GiB,$0.604 per Hour
r5d.4xlarge,16,128 GiB,$1.208 per Hour
r5d.8xlarge,32,256 GiB,$2.416 per Hour
r5d.12xlarge,48,384 GiB,$3.624 per Hour
r5d.16xlarge,64,512 GiB,$4.832 per Hour
r5d.24xlarge,96,768 GiB,$7.248 per Hour
r5d.metal,96,768 GiB,$7.248 per Hour
r4.large,2,15.25 GiB,$0.137 per Hour
r4.xlarge,4,30.5 GiB,$0.274 per Hour
r4.2xlarge,8,61 GiB,$0.548 per Hour
r4.4xlarge,16,122 GiB,$1.096 per Hour
r4.8xlarge,32,244 GiB,$2.192 per Hour
r4.16xlarge,64,488 GiB,$4.384 per Hour
z1d.large,2,16 GiB,$0.196 per Hour
z1d.xlarge,4,32 GiB,$0.392 per Hour
z1d.2xlarge,8,64 GiB,$0.784 per Hour
z1d.3xlarge,12,96 GiB,$1.176 per Hour
z1d.6xlarge,24,192 GiB,$2.352 per Hour
z1d.12xlarge,48,384 GiB,$4.704 per Hour
z1d.metal,48,384 GiB,$4.704 per Hour
