type,cpu,ram,price
t3.nano,2,0.5 GiB,$0.0068 per Hour
t3.micro,2,1 GiB,$0.0136 per Hour
t3.small,2,2 GiB,$0.0272 per Hour
t3.medium,2,4 GiB,$0.0544 per Hour
t3.large,2,8 GiB,$0.1088 per Hour
t3.xlarge,4,16 GiB,$0.2176 per Hour
t3.2xlarge,8,32 GiB,$0.4352 per Hour
t2.nano,1,0.5 GiB,$0.0076 per Hour
t2.micro,1,1 GiB,$0.0152 per Hour
t2.small,1,2 GiB,$0.0304 per Hour
t2.medium,2,4 GiB,$0.0608 per Hour
t2.large,2,8 GiB,$0.1216 per Hour
t2.xlarge,4,16 GiB,$0.2432 per Hour
t2.2xlarge,8,32 GiB,$0.4864 per Hour
m5.large,2,8 GiB,$0.124 per Hour
m5.xlarge,4,16 GiB,$0.248 per Hour
m5.2xlarge,8,32 GiB,$0.496 per Hour
m5.4xlarge,16,64 GiB,$0.992 per Hour
m5.8xlarge,32,128 GiB,$1.984 per Hour
m5.12xlarge,48,192 GiB,$2.976 per Hour
m5.16xlarge,64,256 GiB,$3.968 per Hour
m5.24xlarge,96,384 GiB,$5.952 per Hour
m5.metal,96,384 GiB,$5.952 per Hour
m5d.large,2,8 GiB,$0.146 per Hour
m5d.xlarge,4,16 GiB,$0.292 per Hour
m5d.2xlarge,8,32 GiB,$0.584 per Hour
m5d.4xlarge,16,64 GiB,$1.168 per Hour
m5d.8xlarge,32,128 GiB,$2.336 per Hour
m5d.12xlarge,48,192 GiB,$3.504 per Hour
m5d.16xlarge,64,256 GiB,$4.672 per Hour
m5d.24xlarge,96,384 GiB,$7.008 per Hour
m5d.metal,96,384 GiB,$7.008 per Hour
m4.large,2,8 GiB,$0.129 per Hour
m4.xlarge,4,16 GiB,$0.258 per Hour
m4.2xlarge,8,32 GiB,$0.516 per Hour
m4.4xlarge,16,64 GiB,$1.032 per Hour
m4.10xlarge,40,160 GiB,$2.58 per Hour
m4.16xlarge,64,256 GiB,$4.128 per Hour
c5.large,2,4 GiB,$0.107 per Hour
c5.xlarge,4,8 GiB,$0.214 per Hour
c5.2xlarge,8,16 GiB,$0.428 per Hour
c5.4xlarge,16,32 GiB,$0.856 per Hour
c5.9xlarge,36,72 GiB,$1.926 per Hour
c5.12xlarge,48,96 GiB,$2.568 per Hour
c5.18xlarge,72,144 GiB,$3.852 per Hour
c5.24xlarge,96,192 GiB,$5.136 per Hour
c5.metal,96,192 GiB,$5.136 per Hour
c5d.large,2,4 GiB,$0.122 per Hour
c5d.xlarge,4,8 GiB,$0.244 per Hour
c5d.2xlarge,8,16 GiB,$0.488 per Hour
c5d.4xlarge,16,32 GiB,$0.976 per Hour
c5d.9xlarge,36,72 GiB,$2.196 per Hour
c5d.12xlarge,48,96 GiB,$2.928 per Hour
c5d.18xlarge,72,144 GiB,$4.392 per Hour
c5d.24xlarge,96,192 GiB,$5.856 per Hour
c5d.metal,96,192 GiB,$5.856 per Hour
c4.large,2,3.75 GiB,$0.126 per Hour
c4.xlarge,4,7.5 GiB,$0.252 per Hour
c4.2xlarge,8,15 GiB,$0.504 per Hour
c4.4xlarge,16,30 GiB,$1.008 per Hour
c4.8xlarge,36,60 GiB,$2.016 per Hour
x1.16xlarge,64,976 GiB,$9.671 per Hour
x1.32xlarge,128,"1,952 GiB",$19.342 per Hour
x1e.xlarge,4,122 GiB,$1.209 per Hour
x1e.2xlarge,8,244 GiB,$2.418 per Hour
x1e.4xlarge,16,488 GiB,$4.836 per Hour
x1e.8xlarge,32,976 GiB,$9.672 per Hour
x1e.16xlarge,64,"1,952 GiB",$19.344 per Hour
x1e.32xlarge,128,"3,904 GiB",$38.688 per Hour
r5.large,2,16 GiB,$0.152 per Hour
r5.xlarge,4,32 GiB,$0.304 per Hour
r5.2xlarge,8,64 GiB,$0.608 per Hour
r5.4xlarge,16,128 GiB,$1.216 per Hour
r5.8xlarge,32,256 GiB,$2.432 per Hour
r5.12xlarge,48,384 GiB,$3.648 per Hour
r5.16xlarge,64,512 GiB,$4.864 per Hour
r5.24xlarge,96,768 GiB,$7.296 per Hour
r5.metal,96,768 GiB,$7.296 per Hour
r5d.large,2,16 GiB,$0.174 per Hour
r5d.xlarge,4,32 GiB,$0.348 per Hour
r5d.2xlarge,8,64 GiB,$0.696 per Hour
r5d.4xlarge,16,128 GiB,$1.392 per Hour
r5d.8xlarge,32,256 GiB,$2.784 per Hour
r5d.12xlarge,48,384 GiB,$4.176 per Hour
r5d.16xlarge,64,512 GiB,$5.568 per Hour
r5d.24xlarge,96,768 GiB,$8.352 per Hour
r5d.metal,96,768 GiB,$8.352 per Hour
r4.large,2,15.25 GiB,$0.16 per Hour
r4.xlarge,4,30.5 GiB,$0.32 per Hour
r4.2xlarge,8,61 GiB,$0.64 per Hour
r4.4xlarge,16,122 GiB,$1.28 per Hour
r4.8xlarge,32,244 GiB,$2.56 per Hour
r4.16xlarge,64,488 GiB,$5.12 per Hour
i3.large,2,15.25 GiB,$0.183 per Hour
i3.xlarge,4,30.5 GiB,$0.366 per Hour
i3.2xlarge,8,61 GiB,$0.732 per Hour
i3.4xlarge,16,122 GiB,$1.464 per Hour
i3.8xlarge,32,244 GiB,$2.928 per Hour
i3.16xlarge,64,488 GiB,$5.856 per Hour
i3en.large,2,16 GiB,$0.266 per Hour
i3en.xlarge,4,32 GiB,$0.532 per Hour
i3en.2xlarge,8,64 GiB,$1.064 per Hour
i3en.3xlarge,12,96 GiB,$1.596 per Hour
i3en.6xlarge,24,192 GiB,$3.192 per Hour
i3en.12xlarge,48,384 GiB,$6.384 per Hour
i3en.24xlarge,96,768 GiB,$12.768 per Hour
i3en.metal,96,768 GiB,$12.768 per Hour
d2.xlarge,4,30.5 GiB,$0.844 per Hour
d2.2xlarge,8,61 GiB,$1.688 per Hour
d2.4xlarge,16,122 GiB,$3.376 per Hour
d2.8xlarge,36,244 GiB,$6.752 per Hour
